pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_x,delta_y,delta_z,f_x,f_y,f_z,f_x_out,f_y_out,f_z_out
1.7456574,-1.6040951,-0.6680791,4.1815434,-0.12765206,1.7327192,0.022617297,-1.0187246,0.82208204,-0.73881924,-0.5894316,-0.43876362,-0.014244885,1.0269932,-0.8018761,0.19662501,-1.2124877,-1.8241148,0.19547449,-1.2108362,-1.823564
1.7350421,-1.6147422,-0.67854244,4.1710796,-0.13625702,1.7233416,0.008609839,-1.0304993,0.80315566,-0.7191053,-0.60376585,-0.4476849,-0.021164069,1.0178411,-0.8039462,0.18522792,-1.2212769,-1.8338842,0.18408518,-1.2196398,-1.8333364
1.7357444,-1.6140712,-0.6768705,4.171934,-0.13353264,1.7252824,0.00594668,-1.0309343,0.7955767,-0.6880986,-0.60677093,-0.44534826,-0.016790744,1.0199863,-0.7947266,0.18515669,-1.2187619,-1.8323382,0.18402188,-1.2171392,-1.8317937
1.7479218,-1.601925,-0.6645395,4.1842647,-0.11932126,1.7386992,0.014785291,-1.0198723,0.7995063,-0.6456488,-0.59828675,-0.43159667,-0.00096735364,1.033586,-0.7740636,0.19656911,-1.2047856,-1.8193195,0.19544183,-1.2031771,-1.8187771
1.7455425,-1.6043351,-0.66676456,4.1820397,-0.11965501,1.7375599,0.009093732,-1.0233452,0.78890914,-0.61779463,-0.6043434,-0.43246272,0.0002741615,1.0326089,-0.7679856,0.19343278,-1.2053795,-1.8208592,0.19231288,-1.2037846,-1.82032
1.7426026,-1.6073054,-0.6687328,4.179254,-0.12053787,1.7358606,0.0028676759,-1.0273575,0.7777862,-0.59054714,-0.61094165,-0.43395096,0.0009299624,1.0310508,-0.7625018,0.18974349,-1.206547,-1.8229622,0.18863124,-1.2049662,-1.8224251
1.7442316,-1.6057066,-0.6669481,4.1810384,-0.116840065,1.738731,0.0012372951,-1.0267792,0.77126265,-0.5587823,-0.6129505,-0.43093187,0.006129896,1.0340419,-0.75247735,0.1906315,-1.2031589,-1.8204975,0.18952623,-1.2015913,-1.8199639
1.7412329,-1.6087348,-0.66979027,4.178196,-0.1177583,1.7369746,-0.0049945703,-1.0308074,0.76014674,-0.5317039,-0.61956364,-0.43260273,0.006677294,1.0323856,-0.74711406,0.18689929,-1.2044108,-1.8226632,0.18580143,-1.2028569,-1.8221316
1.7410775,-1.6089197,-0.66897166,4.1781974,-0.11582186,1.7380621,-0.008356807,-1.0319712,0.751904,-0.50184655,-0.623309,-0.43149295,0.010043185,1.0335529,-0.73893595,0.18601827,-1.2028326,-1.821987,0.18492714,-1.2012914,-1.8214588
1.7432181,-1.6068081,-0.66667324,4.1804957,-0.11157813,1.7414463,-0.009397034,-1.0308182,0.74599314,-0.46976405,-0.62473106,-0.42815018,0.0156802,1.0369966,-0.7284961,0.18744038,-1.1989704,-1.8190176,0.18635638,-1.1974427,-1.8184916
1.7400441,-1.6100107,-0.66968864,4.17748,-0.11263753,1.7395167,-0.015725592,-1.034959,0.73479825,-0.44307226,-0.63143927,-0.43018514,0.015978074,1.0351065,-0.7233996,0.18355559,-1.2004354,-1.821364,0.18247817,-1.1989198,-1.8208417
1.7486713,-1.6014118,-0.66090214,4.186266,-0.101884514,1.7492533,-0.010227077,-1.027278,0.7354415,-0.4046618,-0.6263146,-0.42048252,0.02805254,1.0449984,-0.70653725,0.19147901,-1.1901108,-1.8119124,0.19040833,-1.1886083,-1.811392
1.7351791,-1.614932,-0.67341745,4.172934,-0.113239795,1.7370068,-0.026821984,-1.041696,0.7139972,-0.38845852,-0.6432768,-0.43296304,0.017983023,1.0327519,-0.7118243,0.17729025,-1.201918,-1.8245814,0.17622603,-1.2004275,-1.8240641
1.7306517,-1.6194869,-0.67778414,4.168567,-0.11561923,1.7337259,-0.034426227,-1.0471288,0.70155495,-0.36338383,-0.65123886,-0.43654263,0.016853932,1.0294514,-0.70818233,0.17207325,-1.2047716,-1.8282881,0.17101562,-1.2032936,-1.827773
1.7350166,-1.6151495,-0.6732581,4.173093,-0.10909574,1.7393377,-0.03311269,-1.0436496,0.69803643,-0.3295152,-0.6502731,-0.4312942,0.02459239,1.0350239,-0.69567835,0.17575535,-1.198745,-1.8231044,0.17470421,-1.1972791,-1.8225921
1.7406126,-1.6095802,-0.66668314,4.1788507,-0.101329856,1.7461816,-0.030541938,-1.0389187,0.6957827,-0.2945187,-0.6480379,-0.42487857,0.033537988,1.0418094,-0.68197453,0.1806758,-1.1914985,-1.8166914,0.17963046,-1.1900439,-1.8161825
1.7362418,-1.6139776,-0.6708912,4.174643,-0.10352021,1.7430593,-0.037912574,-1.044135,0.6836001,-0.26959786,-0.655729,-0.42849395,0.032492533,1.0386095,-0.67827404,0.17563562,-1.1942295,-1.820248,0.17459662,-1.1927869,-1.8197409
1.7448926,-1.6053529,-0.66207695,4.183457,-0.09267828,1.7528235,-0.032236002,-1.0363101,0.6844731,-0.2317686,-0.6503569,-0.41915187,0.04444446,1.0484129,-0.6615842,0.18362391,-1.1839502,-1.8107841,0.18259084,-1.182519,-1.8102807
1.7438968,-1.6063744,-0.6629087,4.182625,-0.09147264,1.7530775,-0.03618081,-1.038112,0.6757376,-0.20370454,-0.65458757,-0.41952077,0.046725836,1.0485514,-0.6545776,0.1819719,-1.1833283,-1.81097,0.18094489,-1.1819085,-1.8104683
