pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_ori_x,delta_ori_y,delta_ori_z,f_x_out,f_y_out,f_z_out,torque_x_out,torque_y_out,torque_z_out
1.6554568,-1.8839642,1.5745195,2.8205655,-1.8947802,2.5407043,3.4263825,0.64777,-2.259949,-2.9401515,-1.9373193,2.8547852,-3.6428223,-0.77807224,2.259949,2.9263108,-2.2549603,2.8967865,1.4373927,1.3820786,-1.4552629,1.38135,1.3820126,1.3819002
1.6519182,-1.8762281,1.5187066,2.7991943,-1.8546731,2.5258372,3.3351128,0.8324334,-2.1757212,-2.8880737,-2.0259233,2.8433642,-3.5516229,-0.8865189,2.1757212,2.8621001,-2.3181112,2.8815868,1.397514,1.3318954,-1.4015301,1.3311317,1.331716,1.3318464
1.6483763,-1.8679034,1.4648479,2.7781856,-1.8135415,2.511026,3.2332332,0.94979525,-2.179007,-2.8452442,-2.0945733,2.8288412,-3.4747355,-1.020051,2.179007,2.7924933,-2.3880258,2.8685894,1.3578842,1.2817667,-1.3499819,1.2808365,1.281419,1.2817365
1.6448319,-1.8588536,1.4109131,2.75757,-1.7712756,2.4962628,3.1533966,1.090268,-2.0372622,-2.8009384,-2.176488,2.8165994,-3.3426323,-1.1475403,2.0372622,2.7177203,-2.3943787,2.8515394,1.3228817,1.2373626,-1.3002366,1.2364553,1.2369462,1.2374792
1.6412827,-1.8491116,1.3602673,2.7373767,-1.7289068,2.4815626,3.0323658,1.218969,-2.0212662,-2.7544034,-2.1981318,2.8007967,-3.2471933,-1.2787671,2.0212662,2.646372,-2.4230657,2.8367026,1.2876278,1.192918,-1.2539595,1.1918606,1.1923572,1.1930361
1.6377302,-1.8386571,1.3099927,2.7175863,-1.6860723,2.4669168,2.9457579,1.3481927,-1.8182532,-2.710928,-2.2471085,2.787314,-3.088331,-1.4031849,1.8182532,2.5693984,-2.3810773,2.8174474,1.2586751,1.1560205,-1.2096298,1.1550442,1.1554364,1.1562995
1.6341723,-1.8275272,1.2644289,2.6982305,-1.6439192,2.4523423,2.809204,1.4661065,-1.7906599,-2.6646044,-2.2261634,2.7698574,-2.9828672,-1.5193114,1.7906599,2.501799,-2.3777144,2.8011525,1.2294412,1.1192627,-1.1695399,1.1181636,1.1185652,1.1195316
1.6306106,-1.8157667,1.2195052,2.6792564,-1.6018207,2.4378276,2.7198427,1.5761102,-1.5390618,-2.6239524,-2.2478507,2.7554007,-2.8033366,-1.6262635,1.5390618,2.4282765,-2.294687,2.779839,1.2064977,1.090177,-1.1329483,1.0892128,1.089501,1.090615
1.6270427,-1.8034254,1.1804198,2.6606975,-1.5610691,2.4233916,2.5702083,1.6732572,-1.4943041,-2.579918,-2.1885157,2.7363153,-2.685693,-1.7195309,1.4943041,2.367017,-2.258298,2.7618659,1.185144,1.0632154,-1.0994486,1.0621563,1.0624589,1.0636313
1.6234707,-1.7905779,1.1423728,2.6424844,-1.5209079,2.4090219,2.474999,1.7585675,-1.2029119,-2.542929,-2.1803193,2.7206335,-2.4869401,-1.8021226,1.2029119,2.2996416,-2.136078,2.7384531,1.1707673,1.0447266,-1.0699137,1.0438508,1.0440345,1.0453154
1.6198916,-1.777282,1.1110874,2.624652,-1.4827296,2.3947382,2.312681,1.8296188,-1.144893,-2.502271,-2.0837057,2.6998675,-2.3579476,-1.867988,1.144893,2.2465837,-2.0681553,2.7188122,1.1535735,1.024021,-1.0484625,1.0230799,1.0232825,1.0245768
1.6163082,-1.7636284,1.0811484,2.607119,-1.4456532,2.380527,2.2110677,1.8866156,-0.8238431,-2.469671,-2.0459244,2.6829085,-2.1431537,-1.9221728,0.8238431,2.187302,-1.9107025,2.6934752,1.1466635,1.0151771,-1.0284245,1.0144593,1.014542,1.0159037
1.6127173,-1.7496806,1.058659,2.5899208,-1.4111313,2.3664093,2.0374408,1.9283813,-0.75428706,-2.4331949,-1.9147652,2.6605465,-2.0034552,-1.9578446,0.75428706,2.1436443,-1.8129056,2.672208,1.1396271,1.0068346,-1.0141959,1.0060815,1.0061873,1.0075189
1.6091214,-1.7355391,1.0377835,2.5729692,-1.378196,2.35237,1.9288927,1.9547857,-0.41557133,-2.4054313,-1.8478462,2.6422663,-1.7768848,-1.9811974,0.41557133,2.0939274,-1.6253223,2.6452093,1.1400371,1.0075582,-1.0045389,1.0070593,1.0070484,1.008406
