pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_x,delta_y,delta_z,f_x,f_y,f_z,f_x_out,f_y_out,f_z_out
0.0031835153,0.0037942526,0.84857833,-3.140716,-0.002043768,-1.5716748,-0.014816332,0.004210985,7.3769947e-06,4.5180117e-05,-0.002419525,-0.00072668266,2.9633435e-05,-8.421462e-06,-1.5772974e-08,-1.2838491,0.35551,42.72689,-1.2842062,0.35529238,42.731182
0.003153882,0.0038026741,0.84857833,-3.140716,-0.0020389282,-1.5716733,-0.01483041,0.0042126537,7.320928e-06,3.655979e-05,-0.0024206985,-0.00072412496,2.966159e-05,-8.424801e-06,-1.5662492e-08,-1.2842062,0.35529238,42.731182,-1.2845623,0.35507607,42.73544
0.0031242203,0.0038110989,0.84857833,-3.140716,-0.0020340858,-1.5716718,-0.01484435,0.0042142863,7.264963e-06,2.806615e-05,-0.0024216739,-0.0007216157,2.9689472e-05,-8.428067e-06,-1.5552192e-08,-1.2845623,0.35507607,42.73544,-1.2849177,0.354861,42.739662
0.003094531,0.0038195269,0.84857833,-3.1407158,-0.0020292415,-1.5716704,-0.014858152,0.004215882,7.2091034e-06,1.9698407e-05,-0.0024224524,-0.0007191529,2.9717079e-05,-8.431261e-06,-1.544208e-08,-1.2849177,0.354861,42.739662,-1.2852722,0.35464716,42.743855
0.0030648138,0.0038279581,0.8485784,-3.1407158,-0.0020243959,-1.571669,-0.014871818,0.0042174417,7.1533514e-06,1.1455766e-05,-0.0024230352,-0.0007167348,2.9744413e-05,-8.434382e-06,-1.5332162e-08,-1.2852722,0.35464716,42.743855,-1.2856258,0.35443452,42.74801
0.0030350694,0.0038363927,0.8485784,-3.1407158,-0.0020195488,-1.5716676,-0.014885349,0.004218965,7.097693e-06,3.3374668e-06,-0.002423425,-0.0007143595,2.9771476e-05,-8.43743e-06,-1.522241e-08,-1.2856258,0.35443452,42.74801,-1.2859787,0.354223,42.752136
0.0030052979,0.00384483,0.8485784,-3.1407158,-0.002014701,-1.5716661,-0.014898744,0.004220451,7.042146e-06,-4.6573296e-06,-0.002423622,-0.0007120252,2.979827e-05,-8.440405e-06,-1.511286e-08,-1.2859787,0.354223,42.752136,-1.2863306,0.35401258,42.756226
0.0029754997,0.0038532706,0.84857845,-3.1407158,-0.002009853,-1.5716647,-0.014912006,0.0042219018,6.986714e-06,-1.2529426e-05,-0.0024236273,-0.0007097301,2.9824796e-05,-8.443307e-06,-1.5003518e-08,-1.2863306,0.35401258,42.756226,-1.2866818,0.35380322,42.760284
0.0029456748,0.0038617137,0.84857845,-3.1407158,-0.0020050048,-1.5716633,-0.014925136,0.0042233155,6.9313996e-06,-2.0279631e-05,-0.0024234424,-0.0007074723,2.9851057e-05,-8.446136e-06,-1.48943915e-08,-1.2866818,0.35380322,42.760284,-1.287032,0.3535949,42.764313
0.0029158238,0.0038701599,0.84857845,-3.1407158,-0.002000157,-1.571662,-0.014938134,0.0042246925,6.876206e-06,-2.7908749e-05,-0.002423069,-0.0007052503,2.9877052e-05,-8.448893e-06,-1.4785485e-08,-1.287032,0.3535949,42.764313,-1.2873814,0.35338748,42.768307
