x_res,y_res,f_res
0.0,0.0,60.0
1.8261984053750758e-05,8.837346111975653e-06,59.99961227416992
3.65239448855244e-05,1.7674670365607735e-05,59.999224548339846
5.478586170942521e-05,2.651195310989902e-05,59.998836822509766
7.304771373955754e-05,3.534917469385228e-05,59.998449096679686
9.130948019002566e-05,4.418631546647032e-05,59.99806137084961
0.00010957114027493392,5.3023355776755906e-05,59.99767364501953
0.00012783267320838658,6.186027597371181e-05,59.99728591918945
0.000146094058204488,7.069705640634084e-05,59.99689819335938
0.0001643552744773425,7.953367742364573e-05,59.9965104675293
0.0001826163012410544,8.837011937462932e-05,59.99612274169922
0.0002008771177097279,9.720636260829433e-05,59.995735015869144
0.00021913770309746745,0.00010604238747364361,59.995347290039064
0.00023739803661837732,0.00011487817431967986,59.99495956420898
0.0002556580974865618,0.00012371370349540593,59.9945718383789
0.0002739178649161251,0.00013254895534982452,59.99418411254883
0.0002921773181211718,0.0001413839102319385,59.99379638671875
0.00031043643631580606,0.00015021854849075065,59.99340866088867
0.000328695198714132,0.00015905285047526364,59.993020935058595
0.0003469535845302543,0.00016788679653448034,59.992633209228515
0.00036521157297827707,0.00017672036701740356,59.992245483398435
0.0003834691432723046,0.000185553542273036,59.99185775756836
0.0004017262746264412,0.00019438630265038043,59.99147003173828
0.0004199829462547913,0.00020321862849843975,59.9910823059082
0.0004382391373714591,0.0002120505001662166,59.99069458007813
0.0004564948271905489,0.00022088189800271386,59.99030685424805
0.0004747499949261653,0.0002297128023569343,59.98991912841797
0.0004930046197924122,0.00023854319357788064,59.98953140258789
0.000511258681003394,0.0002473730520145557,59.98914367675781
0.0005295121577732152,0.0002562023580159623,59.98875595092773
0.00054776502931598,0.00026503109193110297,59.98836822509766
0.0005660172748457926,0.00027385923410898095,59.98798049926758
0.0005842688735767576,0.00028268676489859865,59.9875927734375
0.0006025198047229792,0.00029151366464895905,59.987205047607425
0.0006207700474985616,0.0003003399137090648,59.986817321777345
0.0006390195811176091,0.00030916549242791867,59.986429595947264
0.000657268384794226,0.0003179903811545236,59.98604187011719
0.0006755164377425169,0.00032681456023788216,59.98565414428711
0.0006937637191765857,0.0003356380100269974,59.98526641845703
0.0007120102083105369,0.00034446071087087176,59.98487869262695
0.0007302558843584752,0.00035328264311850833,59.984490966796876
0.0007485007265345042,0.0003621037871189098,59.984103240966796
0.0007667447140527286,0.00037092412322107875,59.983715515136716
0.0007849878261272529,0.0003797436317740182,59.98332778930664
0.0008032300419721809,0.0003885622931267308,59.98294006347656
0.0008214713408016172,0.0003973800876282194,59.98255233764648
0.0008397117018296664,0.0004061969956274868,59.98216461181641
0.0008579511042704325,0.0004150129974735359,59.98177688598633
0.0008761895273380193,0.00042382807351536904,59.98138916015625
0.0008944269502465322,0.0004326422041019895,59.981001434326174
0.0009126633522100747,0.0004414553695823997,59.980613708496094
0.0009308987124427514,0.0004502675503056027,59.98022598266601
0.0009491330101586667,0.000459078726620601,59.97983825683594
0.0009673662245719244,0.0004678888788763976,59.97945053100586
0.0009855983348966296,0.00047669798742199534,59.97906280517578
0.0010038293203468863,0.0004855060326063967,59.978675079345706
0.0010220591601367984,0.0004943129947786047,59.978287353515626
0.0010402878334804708,0.000503118854287622,59.977899627685545
0.0010585153195920075,0.0005119235914824515,59.97751190185547
0.0010767415976855126,0.0005207271867120958,59.97712417602539
0.0010949666469750904,0.0005295296203255577,59.97673645019531
0.001113190446674846,0.0005383308726718402,59.97634872436524
0.001131412975998883,0.000547130924099946,59.97596099853516
0.0011496342141613062,0.0005559297549588778,59.97557327270508
0.0011678541403762194,0.0005647273455976384,59.975185546875
