x,y,f
0.0,0.0,25.0
-0.001203185161815724,-0.0008089399835427414,25.0
-0.002406370323631448,-0.001617879967085483,25.0
-0.0036095554854471724,-0.0024268199506282243,25.0
-0.004812740647262896,-0.003235759934170966,25.0
-0.00601592580907862,-0.004044699917713707,25.0
-0.007219110970894345,-0.004853639901256449,25.0
-0.008422296132710068,-0.00566257988479919,25.0
-0.009625481294525793,-0.006471519868341932,25.0
-0.010828666456341517,-0.0072804598518846735,25.0
-0.01203185161815724,-0.008089399835427414,25.0
-0.013235036779972965,-0.008898339818970155,25.0
-0.01443822194178869,-0.009707279802512897,25.0
-0.015641407103604413,-0.010516219786055638,25.0
-0.016844592265420136,-0.01132515976959838,25.0
-0.018047777427235862,-0.012134099753141121,25.0
-0.019250962589051585,-0.012943039736683863,25.0
-0.020454147750867308,-0.013751979720226603,25.0
-0.021657332912683035,-0.014560919703769347,25.0
-0.022860518074498758,-0.015369859687312087,25.0
-0.02406370323631448,-0.016178799670854827,25.0
-0.025266888398130207,-0.01698773965439757,25.0
-0.02647007355994593,-0.01779667963794031,25.0
-0.027673258721761653,-0.018605619621483053,25.0
-0.02887644388357738,-0.019414559605025795,25.0
-0.030079629045393103,-0.020223499588568537,25.0
-0.031282814207208826,-0.021032439572111275,25.0
-0.03248599936902455,-0.021841379555654017,25.0
-0.03368918453084027,-0.02265031953919676,25.0
-0.034892369692656,-0.023459259522739504,25.0
-0.036095554854471724,-0.024268199506282243,25.0
-0.03729874001628745,-0.025077139489824984,25.0
-0.03850192517810317,-0.025886079473367726,25.0
-0.03970511033991889,-0.026695019456910465,25.0
-0.040908295501734616,-0.027503959440453207,25.0
-0.04211148066355034,-0.02831289942399595,25.0
-0.04331466582536607,-0.029121839407538694,25.0
-0.04451785098718179,-0.029930779391081432,25.0
-0.045721036148997515,-0.030739719374624174,25.0
-0.04692422131081324,-0.03154865935816691,25.0
-0.04812740647262896,-0.032357599341709654,25.0
-0.049330591634444684,-0.033166539325252396,25.0
-0.050533776796260414,-0.03397547930879514,25.0
-0.05173696195807614,-0.03478441929233788,25.0
-0.05294014711989186,-0.03559335927588062,25.0
-0.05414333228170758,-0.036402299259423364,25.0
-0.055346517443523306,-0.037211239242966106,25.0
-0.05654970260533903,-0.03802017922650885,25.0
-0.05775288776715476,-0.03882911921005159,25.0
-0.05895607292897048,-0.03963805919359433,25.0
-0.060159258090786205,-0.04044699917713707,25.0
-0.06136244325260193,-0.041255939160679815,25.0
-0.06256562841441765,-0.04206487914422255,25.0
-0.06376881357623337,-0.04287381912776529,25.0
-0.0649719987380491,-0.043682759111308034,25.0
-0.06617518389986482,-0.044491699094850776,25.0
-0.06737836906168054,-0.04530063907839352,25.0
-0.06858155422349627,-0.04610957906193626,25.0
-0.069784739385312,-0.04691851904547901,25.0
-0.07098792454712773,-0.04772745902902175,25.0
-0.07219110970894345,-0.048536399012564485,25.0
-0.07339429487075917,-0.04934533899610723,25.0
-0.0745974800325749,-0.05015427897964997,25.0
-0.07580066519439062,-0.05096321896319271,25.0
-0.07700385035620634,-0.05177215894673545,25.0
-0.07820703551802206,-0.052581098930278194,25.0
-0.07941022067983779,-0.05339003891382093,25.0
-0.08061340584165351,-0.05419897889736367,25.0
-0.08181659100346923,-0.05500791888090641,25.0
-0.08301977616528496,-0.055816858864449155,25.0
-0.08422296132710068,-0.0566257988479919,25.0
-0.08542614648891642,-0.057434738831534646,25.0
-0.08662933165073214,-0.05824367881507739,25.0
-0.08783251681254786,-0.05905261879862013,25.0
-0.08903570197436358,-0.059861558782162864,25.0
-0.09023888713617931,-0.060670498765705606,25.0
-0.09144207229799503,-0.06147943874924835,25.0
-0.09264525745981075,-0.06228837873279109,25.0
-0.09384844262162648,-0.06309731871633383,25.0
-0.0950516277834422,-0.06390625869987657,25.0
-0.09625481294525792,-0.06471519868341931,25.0
-0.09745799810707365,-0.06552413866696205,25.0
-0.09866118326888937,-0.06633307865050479,25.0
-0.09986436843070509,-0.06714201863404753,25.0
-0.10106755359252083,-0.06795095861759028,25.0
-0.10227073875433655,-0.06875989860113302,25.0
-0.10347392391615227,-0.06956883858467576,25.0
-0.104677109077968,-0.0703777785682185,25.0
-0.10588029423978372,-0.07118671855176124,25.0
-0.10708347940159944,-0.07199565853530399,25.0
-0.10828666456341517,-0.07280459851884673,25.0
-0.10948984972523089,-0.07361353850238947,25.0
-0.11069303488704661,-0.07442247848593221,25.0
-0.11189622004886234,-0.07523141846947495,25.0
-0.11309940521067806,-0.0760403584530177,25.0
-0.11430259037249378,-0.07684929843656044,25.0
-0.11550577553430952,-0.07765823842010318,25.0
-0.11670896069612524,-0.07846717840364592,25.0
-0.11791214585794096,-0.07927611838718866,25.0
-0.11911533101975669,-0.0800850583707314,25.0
-0.12031851618157241,-0.08089399835427415,25.0
-0.12152170134338813,-0.08170293833781689,25.0
-0.12272488650520386,-0.08251187832135963,25.0
-0.12392807166701958,-0.08332081830490237,25.0
-0.1251312568288353,-0.0841297582884451,25.0
-0.12633444199065103,-0.08493869827198784,25.0
-0.12753762715246675,-0.08574763825553058,25.0
-0.12874081231428247,-0.08655657823907333,25.0
-0.1299439974760982,-0.08736551822261607,25.0
-0.13114718263791392,-0.08817445820615881,25.0
-0.13235036779972964,-0.08898339818970155,25.0
-0.13355355296154536,-0.0897923381732443,25.0
-0.1347567381233611,-0.09060127815678704,25.0
-0.1359599232851768,-0.09141021814032978,25.0
-0.13716310844699253,-0.09221915812387252,25.0
-0.13836629360880826,-0.09302809810741526,25.0
-0.139569478770624,-0.09383703809095802,25.0
-0.14077266393243973,-0.09464597807450076,25.0
-0.14197584909425545,-0.0954549180580435,25.0
-0.14317903425607117,-0.09626385804158624,25.0
-0.1443822194178869,-0.09707279802512897,25.0
-0.14558540457970262,-0.09788173800867171,25.0
-0.14678858974151834,-0.09869067799221445,25.0
-0.14799177490333407,-0.0994996179757572,25.0
-0.1491949600651498,-0.10030855795929994,25.0
-0.1503981452269655,-0.10111749794284268,25.0
-0.15160133038878124,-0.10192643792638542,25.0
-0.15280451555059696,-0.10273537790992816,25.0
-0.15400770071241268,-0.1035443178934709,25.0
-0.1552108858742284,-0.10435325787701365,25.0
-0.15641407103604413,-0.10516219786055639,25.0
-0.15761725619785985,-0.10597113784409912,25.0
-0.15882044135967557,-0.10678007782764186,25.0
-0.1600236265214913,-0.1075890178111846,25.0
-0.16122681168330702,-0.10839795779472734,25.0
-0.16242999684512274,-0.10920689777827008,25.0
-0.16363318200693847,-0.11001583776181283,25.0
-0.1648363671687542,-0.11082477774535557,25.0
-0.1660395523305699,-0.11163371772889831,25.0
-0.16724273749238563,-0.11244265771244105,25.0
-0.16844592265420136,-0.1132515976959838,25.0
-0.1696491078160171,-0.11406053767952655,25.0
-0.17085229297783283,-0.11486947766306929,25.0
-0.17205547813964855,-0.11567841764661203,25.0
-0.17325866330146428,-0.11648735763015478,25.0
-0.17446184846328,-0.11729629761369752,25.0
-0.17566503362509572,-0.11810523759724026,25.0
-0.17686821878691145,-0.11891417758078299,25.0
-0.17807140394872717,-0.11972311756432573,25.0
-0.1792745891105429,-0.12053205754786847,25.0
-0.18047777427235862,-0.12134099753141121,25.0
-0.18168095943417434,-0.12214993751495395,25.0
-0.18288414459599006,-0.1229588774984967,25.0
-0.18408732975780578,-0.12376781748203944,25.0
-0.1852905149196215,-0.12457675746558218,25.0
-0.18649370008143723,-0.12538569744912492,25.0
-0.18769688524325295,-0.12619463743266765,25.0
-0.18890007040506868,-0.1270035774162104,25.0
-0.1901032555668844,-0.12781251739975313,25.0
-0.19130644072870012,-0.1286214573832959,25.0
-0.19130644072870012,-0.1286214573832959,28.0
-0.19068287108138296,-0.12810202674786325,28.001727115716754
-0.19005931454543265,-0.12758266824494452,28.003454231433505
-0.18943578423067195,-0.1270634539985592,28.00518134715026
-0.18881229324383594,-0.1265444561157392,28.006908462867013
-0.18818885468702834,-0.1260257466780374,28.008635578583764
-0.18756548165617876,-0.1255073977330393,28.010362694300518
-0.1869421872395004,-0.12498948128587876,28.012089810017272
-0.1863189845159489,-0.12447206929075866,28.013816925734023
-0.18569588655368208,-0.12395523364247747,28.015544041450777
-0.1850729064085211,-0.12343904616796302,28.01727115716753
-0.18445005712241286,-0.12292357861781407,28.018998272884282
-0.18382735172189438,-0.122408902657851,28.020725388601036
-0.18320480321655863,-0.12189508986067639,28.02245250431779
-0.1825824245975226,-0.12138221169724665,28.02417962003454
-0.1819602288358975,-0.1208703395284556,28.025906735751295
-0.18133822888126108,-0.12035954459673096,28.02763385146805
-0.18071643766013298,-0.11984989801764485,28.0293609671848
-0.18009486807445227,-0.11934147077153923,28.031088082901555
-0.1794735330000582,-0.11883433369516719,28.03281519861831
-0.178852445285174,-0.1183285574733513,28.03454231433506
-0.1782316177488937,-0.11782421263065963,28.036269430051814
-0.17761106317967276,-0.11732136952310089,28.037996545768568
