pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_x,delta_y,delta_z,f_x,f_y,f_z,f_x_out,f_y_out,f_z_out
2.3804407,-1.5441024,-0.8021113,-0.74466884,-1.2142341,-0.6402712,-0.913452,0.5870533,0.35412905,0.08407453,-1.0613345,-0.39885932,0.91481936,-0.58572537,-0.35316798,-0.8005117,0.35177404,-0.92275774,-0.8008997,0.35161597,-0.9222958
2.378126,-1.5455132,-0.8039564,-0.7465139,-1.2129368,-0.64070755,-0.916384,0.5854376,0.34969473,0.073303364,-1.0637211,-0.3991806,0.91406125,-0.58779997,-0.3524599,-0.8026356,0.34971166,-0.92415243,-0.803023,0.3495549,-0.9236941
2.3747902,-1.5479444,-0.8068222,-0.7493797,-1.2126586,-0.642273,-0.92032605,0.5827963,0.34424442,0.061642632,-1.067037,-0.4005514,0.91227174,-0.5908902,-0.35277677,-0.80577964,0.34662986,-0.9265714,-0.8061663,0.34647432,-0.9261167
2.369051,-1.552778,-0.8120904,-0.75464785,-1.2147816,-0.64624095,-0.9266599,0.5777474,0.33639655,0.047709852,-1.0726645,-0.40435234,0.90806925,-0.59637797,-0.35550034,-0.8113254,0.3411469,-0.9313965,-0.8117114,0.3409926,-0.9309449
2.3838847,-1.5370387,-0.7958269,-0.73934346,-1.196331,-0.6296362,-0.9124106,0.5932661,0.34912628,0.054479264,-1.057629,-0.38760728,0.9244288,-0.5812881,-0.33765584,-0.7962979,0.35623777,-0.9156521,-0.79668313,0.35608467,-0.9152046
2.3831387,-1.536878,-0.79610133,-0.7396179,-1.1934584,-0.6286103,-0.9137298,0.5932011,0.34628144,0.04579854,-1.0580833,-0.3864666,0.92519915,-0.58177197,-0.33539402,-0.7968485,0.35575095,-0.91549057,-0.79723316,0.355599,-0.91504586
2.3738203,-1.5452895,-0.80494803,-0.7484646,-1.1991576,-0.63615674,-0.9236107,0.5845587,0.33486956,0.0286735,-1.0670208,-0.3939225,0.9173868,-0.5908231,-0.34170905,-0.8059708,0.3466931,-0.9239041,-0.8063547,0.3465422,-0.92346334
2.3725047,-1.545697,-0.80483174,-0.74930745,-1.1968528,-0.6356993,-0.92547745,0.58391523,0.33146673,0.019679261,-1.0678662,-0.39339805,0.9175679,-0.5918655,-0.3400252,-0.8070885,0.34564006,-0.9243178,-0.8074719,0.34549025,-0.9238803
2.3836312,-1.5336624,-0.7932327,-0.7377084,-1.182106,-0.6227999,-0.91489214,0.59570867,0.34051132,0.023253202,-1.0561818,-0.38045385,0.9301807,-0.58046085,-0.32590428,-0.79576373,0.35703006,-0.9122928,-0.79614633,0.3568813,-0.91185844
2.3787231,-1.537662,-0.79766786,-0.7421436,-1.1833936,-0.62604314,-0.9203308,0.59146273,0.33352727,0.010918314,-1.0604447,-0.3835652,0.92674905,-0.5850855,-0.3278227,-0.80047244,0.3523869,-0.9163052,-0.8008544,0.352239,-0.9158745
2.3691552,-1.5463208,-0.80676246,-0.7512382,-1.1893413,-0.6338374,-0.9304187,0.58255243,0.32188952,-0.0059516053,-1.0692804,-0.39135626,0.9186479,-0.5943645,-0.3344057,-0.80983996,0.3430852,-0.92498064,-0.81022125,0.3429384,-0.9245531
2.377289,-1.5372769,-0.7971954,-0.74263024,-1.177587,-0.6239291,-0.92279404,0.5913397,0.32796007,-0.0049952953,-1.0603278,-0.38146412,0.9282392,-0.58593595,-0.32329157,-0.8015042,0.35148707,-0.9159567,-0.80188465,0.35134125,-0.91553277
2.3740492,-1.5396061,-0.7999607,-0.74539554,-1.177207,-0.6253941,-0.9265326,0.58874875,0.3226626,-0.015289299,-1.0626638,-0.38296354,0.9264473,-0.58887565,-0.32355535,-0.8045409,0.3485167,-0.9183096,-0.8049208,0.34837174,-0.91788894
2.3770103,-1.535734,-0.7965248,-0.7419598,-1.1706271,-0.6207663,-0.9240601,0.5923538,0.32357222,-0.019260127,-1.0587144,-0.37827915,0.9308465,-0.5856092,-0.31762356,-0.80137587,0.35174832,-0.91446465,-0.8017551,0.35160422,-0.9140471
2.3731315,-1.5387013,-0.79992837,-0.74536335,-1.170888,-0.6228695,-0.9284172,0.58911455,0.3176486,-0.029949242,-1.0615205,-0.3804506,0.9283966,-0.58917713,-0.31853682,-0.80504954,0.3481414,-0.9174622,-0.80542815,0.34799817,-0.91704834
2.3787923,-1.5321285,-0.79379207,-0.7392271,-1.1616108,-0.6154329,-0.92322457,0.59541017,0.3212711,-0.030978128,-1.0547036,-0.3730977,0.9354766,-0.5832002,-0.30991602,-0.7991828,0.35407525,-0.9109236,-0.79956055,0.3539328,-0.9105129
2.3642516,-1.5457568,-0.8068978,-0.753292,-1.1725367,-0.62830585,-0.9382235,0.5814995,0.3046988,-0.052088767,-1.0680057,-0.38596058,0.9223457,-0.5974195,-0.3215024,-0.8135164,0.33980864,-0.92458934,-0.8138935,0.339667,-0.92418146
2.3633046,-1.5457908,-0.8073684,-0.75376266,-1.1698704,-0.6274761,-0.9396183,0.58117825,0.3017273,-0.059486493,-1.0676316,-0.3852429,0.92279947,-0.59803957,-0.31950054,-0.81425506,0.3391371,-0.9246636,-0.81463134,0.33899623,-0.9242593
2.3773882,-1.5307938,-0.79280823,-0.7392025,-1.1521757,-0.611724,-0.9259728,0.5958828,0.31379253,-0.051735587,-1.0521463,-0.36950737,0.9382744,-0.5836239,-0.30247328,-0.79996216,0.3534972,-0.9097107,-0.80033785,0.35335705,-0.9093096
2.368628,-1.53864,-0.8010914,-0.74748576,-1.1573269,-0.6187068,-0.9351611,0.587739,0.303021,-0.06671119,-1.0594239,-0.37662727,0.93089646,-0.5920465,-0.3082957,-0.808512,0.34501457,-0.9176043,-0.8088869,0.34487513,-0.91720647
2.3675675,-1.538786,-0.8007153,-0.74806887,-1.154781,-0.6180979,-0.9366398,0.58729035,0.29995653,-0.07387057,-1.0589219,-0.3760582,0.9312091,-0.59276414,-0.30642426,-0.8093609,0.34423286,-0.917801,-0.8097351,0.34409404,-0.9174064
2.361694,-1.5437447,-0.8061109,-0.7534645,-1.1570506,-0.6221932,-0.9429217,0.5820243,0.29208636,-0.085727364,-1.0631536,-0.38031211,0.9266999,-0.5982893,-0.30937195,-0.8150217,0.33863917,-0.9228135,-0.81539524,0.338501,-0.92242205
2.3733032,-1.5312201,-0.7940237,-0.7413774,-1.1418406,-0.608914,-0.93171144,0.59423596,0.3017061,-0.07998696,-1.0498241,-0.36709288,0.93966407,-0.5863267,-0.29484344,-0.803199,0.35052896,-0.9103463,-0.80357176,0.35039145,-0.9099577
2.3687022,-1.5349054,-0.79814637,-0.74550015,-1.1428441,-0.6118447,-0.9367018,0.59023285,0.29512307,-0.09034299,-1.0526273,-0.37009233,0.9364091,-0.5905692,-0.2965315,-0.8075854,0.3462095,-0.9140919,-0.80795753,0.34607255,-0.91370684
2.3753889,-1.5273025,-0.7900216,-0.73833454,-1.1325629,-0.6033788,-0.9303946,0.59751326,0.2998357,-0.08929807,-1.0440654,-0.3618116,0.94443333,-0.58351827,-0.28693816,-0.8006829,0.35317895,-0.9065527,-0.8010541,0.35304257,-0.9061705
2.3755224,-1.526252,-0.7894087,-0.73772174,-1.1288384,-0.6015739,-0.930631,0.59823596,0.29800296,-0.09469417,-1.0419801,-0.360091,0.9458957,-0.5830153,-0.2839045,-0.80033225,0.35359615,-0.9055691,-0.8007027,0.3534603,-0.90519005
2.3554308,-1.5454265,-0.80902064,-0.75733376,-1.145343,-0.61999387,-0.9510832,0.57872885,0.27595198,-0.12020431,-1.060045,-0.37860206,0.9271239,-0.6027323,-0.3011019,-0.8202056,0.33378908,-0.9248135,-0.8205755,0.33365378,-0.9244373
2.3741293,-1.5258104,-0.78984225,-0.7381554,-1.1230614,-0.5995152,-0.932736,0.5980072,0.29269886,-0.10681404,-1.039245,-0.35832873,0.9471336,-0.583654,-0.279516,-0.8012881,0.35277292,-0.9052704,-0.80165726,0.35263816,-0.9048978
2.3674483,-1.5315738,-0.7960433,-0.7443566,-1.126164,-0.60452425,-0.9397593,0.5919013,0.28407395,-0.11869402,-1.0437508,-0.36344013,0.9417549,-0.58995026,-0.2833168,-0.8077493,0.34637785,-0.91111034,-0.80811757,0.3462435,-0.9107401
2.3635736,-1.5345299,-0.7984782,-0.7477507,-1.1264642,-0.60672635,-0.94396675,0.5885975,0.2782637,-0.12765872,-1.0453764,-0.36574915,0.93917423,-0.59343475,-0.28431794,-0.8114027,0.34279013,-0.9141457,-0.81177026,0.34265628,-0.91377866
2.364321,-1.5328636,-0.7972496,-0.7465223,-1.122147,-0.60430586,-0.9435427,0.5899115,0.27708402,-0.13189323,-1.0423071,-0.36343944,0.94120747,-0.5922917,-0.2807038,-0.81043273,0.3438256,-0.9125616,-0.81079954,0.34369218,-0.9121978
2.3629627,-1.5333025,-0.7981266,-0.74739933,-1.1199403,-0.60399085,-0.9452155,0.58911514,0.2738067,-0.13812672,-1.0412718,-0.36323863,0.94112635,-0.59324944,-0.27920288,-0.81156754,0.3427559,-0.9130863,-0.8119335,0.34262288,-0.91272527
2.357821,-1.5375248,-0.8027867,-0.7520595,-1.1215224,-0.607459,-0.9506628,0.5845308,0.26675424,-0.14803763,-1.043949,-0.36682376,0.9372535,-0.5979855,-0.28149274,-0.8164847,0.33790344,-0.9173969,-0.8168499,0.33777088,-0.9170391
2.3489013,-1.5455246,-0.81122446,-0.76049745,-1.1268876,-0.61470485,-0.959879,0.5761641,0.25593165,-0.1616212,-1.0503342,-0.37418863,0.9295942,-0.6064944,-0.28756717,-0.8251787,0.32927385,-0.92548835,-0.8255432,0.32914162,-0.92513335
2.3658457,-1.5276599,-0.79283875,-0.7430709,-1.106394,-0.59608626,-0.94322234,0.5936569,0.2709815,-0.14923638,-1.0307858,-0.35569072,0.9477908,-0.5891342,-0.26778504,-0.80800766,0.3465089,-0.90771824,-0.80837137,0.34637702,-0.90736604
2.3654294,-1.5271556,-0.79277265,-0.743005,-1.1032671,-0.5948282,-0.94391763,0.5937845,0.26867914,-0.15410887,-1.0285293,-0.35455424,0.94861835,-0.58912975,-0.26537126,-0.8081963,0.34638387,-0.90731144,-0.80855924,0.34625226,-0.90696245
2.3676586,-1.5240052,-0.79006046,-0.74029285,-1.0975002,-0.590924,-0.9419584,0.5965534,0.2690313,-0.15623294,-1.023559,-0.35077205,0.9520836,-0.5864744,-0.26031938,-0.8057381,0.3489052,-0.90426177,-0.8061003,0.348774,-0.9039152
2.361088,-1.5296541,-0.79614776,-0.7463803,-1.1005392,-0.5958194,-0.9487904,0.5905182,0.26059237,-0.16705504,-1.0273212,-0.3557893,0.9467409,-0.5926139,-0.2640751,-0.81207865,0.34262738,-0.910014,-0.81244,0.34249642,-0.9096706
2.362602,-1.5272186,-0.79415035,-0.7443831,-1.0955,-0.59263,-0.9475293,0.59256285,0.26024675,-0.16969182,-1.0229325,-0.3527212,0.94947475,-0.59066397,-0.25975436,-0.81033367,0.3444345,-0.9076847,-0.8106942,0.34430385,-0.9073441
