x,y,f
0.0,0.0,72.0
-0.0009392964546842235,0.0056288950550784445,72.0
-0.003655398473185679,0.010647811989633275,72.0
-0.007853974257134598,0.014512873277285336,72.0
-0.013080042972724444,0.01680523955491246,72.0
-0.018767278983809848,0.01727649736660607,72.0
-0.02429938202203065,0.01587557861615081,72.0
-0.029076862883772633,0.012754294587652603,72.0
-0.032582007387412584,0.008250884837311026,72.0
-0.034434978738060354,0.002853363689177607,72.0
-0.034434978738060354,-0.002853363689177595,72.0
-0.03258200738741259,-0.008250884837311016,72.0
-0.02907686288377264,-0.012754294587652593,72.0
-0.02429938202203066,-0.015875578616150805,72.0
-0.018767278983809862,-0.01727649736660607,72.0
-0.013080042972724451,-0.01680523955491246,72.0
-0.007853974257134605,-0.01451287327728534,72.0
-0.0036553984731856892,-0.010647811989633292,72.0
-0.0009392964546842235,-0.00562889505507845,72.0
0.0,-4.246023763958005e-18,72.0
0.0,0.0,77.0
-0.012674073246407014,0.017712338090715502,77.0
-0.025348146492814028,0.035424676181431004,77.0
-0.03802221973922104,0.05313701427214651,77.0
-0.050696292985628055,0.07084935236286201,77.0
-0.06337036623203507,0.08856169045357752,77.0
-0.07604443947844208,0.10627402854429302,77.0
-0.0887185127248491,0.12398636663500852,77.0
-0.10139258597125611,0.14169870472572402,77.0
-0.11406665921766312,0.15941104281643953,77.0
-0.19122086176709663,-0.09603881331608322,69.0
-0.19150515626529138,-0.09342476857367416,67.13793103448276
-0.19234474646511063,-0.09093295365811808,65.27586206896552
-0.19370037406194832,-0.08867988306541304,63.41379310344828
-0.1955086514160482,-0.0867709078723658,61.55172413793103
-0.19768502548808847,-0.0852952896373297,59.689655172413794
-0.2001277314453266,-0.08432202662894317,57.827586206896555
-0.2027225510720748,-0.08389662754377422,55.96551724137931
-0.2053481534865212,-0.08403898357024822,54.10344827586207
-0.20788176843791378,-0.08474243829878461,52.241379310344826
-0.21020492690703618,-0.0859740989681108,50.37931034482759
-0.21220900058587747,-0.08767637449422161,48.51724137931035
-0.21380028121658287,-0.08976966836545947,46.6551724137931
-0.21490436228544207,-0.09215610048693433,44.79310344827586
-0.21546961818877314,-0.09472408394497482,42.93103448275862
-0.21546961818877314,-0.0973535426871916,41.06896551724138
-0.21490436228544207,-0.09992152614523209,39.20689655172414
-0.21380028121658287,-0.10230795826670695,37.344827586206904
-0.21220900058587747,-0.10440125213794481,35.48275862068965
-0.21020492690703618,-0.10610352766405563,33.62068965517241
-0.20788176843791378,-0.10733518833338182,31.758620689655167
-0.2053481534865212,-0.10803864306191821,29.89655172413793
-0.2027225510720748,-0.10818099908839221,28.03448275862069
-0.2001277314453266,-0.10775560000322326,26.172413793103445
-0.19768502548808847,-0.10678233699483673,24.310344827586206
-0.1955086514160482,-0.10530671875980063,22.448275862068968
-0.19370037406194832,-0.1033977435667534,20.586206896551722
-0.19234474646511063,-0.10114467297404836,18.724137931034484
-0.19150515626529138,-0.09865285805849228,16.862068965517246
-0.19122086176709663,-0.09603881331608322,15.0
-0.19122086176709663,-0.09603881331608322,34.0
-0.17926646826233408,-0.10091815186520425,34.0
-0.16731207475757154,-0.10579749041432529,34.0
-0.15535768125280897,-0.11067682896344634,34.0
-0.14340328774804642,-0.11555616751256739,34.0
-0.13144889424328388,-0.12043550606168843,34.0
-0.11949450073852132,-0.12531484461080947,34.0
-0.10754010723375876,-0.1301941831599305,34.0
-0.09558571372899621,-0.13507352170905157,34.0
-0.08363132022423367,-0.1399528602581726,34.0
-0.07167692671947111,-0.14483219880729364,34.0
-0.05972253321470855,-0.14971153735641468,34.0
-0.047768139709946006,-0.15459087590553572,34.0
-0.03581374620518346,-0.15947021445465676,34.0
-0.02385935270042089,-0.16434955300377782,34.0
-0.011904959195658343,-0.16922889155289886,34.0
4.9434309104201546e-05,-0.1741082301020199,34.0
0.012003827813866746,-0.17898756865114093,34.0
0.02395822131862929,-0.18386690720026197,34.0
0.035912614823391864,-0.18874624574938303,34.0
