x_res,y_res,f_res
0.0,0.0,39.0
-9.05467560635379e-05,-2.8769409161343345e-05,39.0
-0.00018109587905162442,-5.748860249497335e-05,39.0
-0.0002716474919013884,-8.615497101729198e-05,39.0
-0.0003622017175499589,-0.00011476590574470128,39.0
-0.00045275867893446495,-0.00014331879769360323,39.0
-0.0005433184989920354,-0.00017181103788039984,39.0
-0.0006338813006597993,-0.00020024001732149316,39.0
-0.0007244472068748855,-0.00022860312703328517,39.0
-0.0008150163405744232,-0.00025689775803217784,39.0
-0.0009055888246955415,-0.00028512130133457334,39.0
-0.0009961647821753684,-0.00031327114795687337,39.0
-0.0010867443359510343,-0.0003413446889154803,39.0
-0.0011773276089596671,-0.0003693393152267959,39.0
-0.0012679147241383968,-0.0003972524179072222,39.0
-0.0013585058044243506,-0.0004250813879731612,39.0
-0.0014491009727546594,-0.0004528236164410151,39.0
-0.0015397003520664513,-0.00048047649432718576,39.0
-0.001630304065296855,-0.0005080374126480751,39.0
-0.0017209122353829998,-0.0005355037624200851,39.0
-0.0018115249852620153,-0.0005628729346596182,39.0
-0.0019021424378710293,-0.000590142320383076,39.0
-0.001992764716147171,-0.0006173093106068603,39.0
-0.0020833919430275705,-0.000644371296347374,39.0
-0.0021740242414493554,-0.0006713256686210179,39.0
-0.0022646617343496556,-0.0006981698184441951,39.0
-0.0023553045446656003,-0.0007249011368333071,39.0
-0.002445952795334317,-0.0007515170148047557,39.0
-0.002536606609292935,-0.0007780148433749431,39.0
-0.002627266109478585,-0.0008043920135602716,39.0
-0.0027179314188283937,-0.0008306459163771428,39.0
-0.0028086026602794924,-0.000856773942841959,39.0
-0.0028992799567690076,-0.000882773483971122,39.0
-0.002989963431234071,-0.000908641930781034,39.0
-0.0030806532066118097,-0.000934376674288097,39.0
-0.0031713494058393525,-0.0009599751055087128,39.0
-0.0032620521518538295,-0.0009854346154592835,39.0
-0.0033527615675923686,-0.001010752595156211,39.0
-0.0034434777759921,-0.001035926435615898,39.0
-0.0035342008999901505,-0.0010609535278547453,39.0
-0.003624931062523652,-0.0010858312628891557,39.0
-0.0037156683865297324,-0.0011105570317355314,39.0
-0.0038064129949455187,-0.0011351282254102738,39.0
-0.003897165010708143,-0.0011595422349297854,39.0
-0.003987924556754731,-0.0011837964513104675,39.0
-0.0040786917560224146,-0.0012078882655687229,39.0
-0.004169466731448321,-0.0012318150687209534,39.0
-0.004260249605969582,-0.001255574251783561,39.0
-0.004351040502523321,-0.0012791632057729473,39.0
-0.004441839544046673,-0.0013025793217055148,39.0
-0.004532646853476763,-0.0013258199905976653,39.0
-0.004623462553750721,-0.0013488826034658012,39.0
-0.0047142867678056765,-0.0013717645513263237,39.0
-0.004805119618578758,-0.0013944632251956352,39.0
-0.004895961229007095,-0.0014169760160901385,39.0
-0.004986811722027817,-0.0014393003150262344,39.0
-0.005077671220578051,-0.0014614335130203253,39.0
-0.005168539847594928,-0.0014833730010888134,39.0
-0.005259417726015576,-0.0015051161702481007,39.0
-0.005350304978777122,-0.001526660411514589,39.0
-0.005441201728816698,-0.00154800311590468,39.0
-0.0055321080990714325,-0.0015691416744347763,39.0
-0.005623024212478454,-0.0015900734781212802,39.0
-0.0057139501919748915,-0.001610795917980593,39.0
-0.005804886160497874,-0.001631306385029117,39.0
-0.00589583224098453,-0.0016516022702832546,39.0
-0.00598678855637199,-0.001671680964759407,39.0
-0.00607775522959738,-0.001691539859473976,39.0
-0.006168732383597832,-0.001711176345443365,39.0
-0.006259720141310474,-0.0017305878136839748,39.0
-0.006350718625672434,-0.0017497716552122078,39.0
-0.0064417279596208415,-0.0017687252610444663,39.0
-0.006532748266092826,-0.0017874460221971524,39.0
-0.006623779668025515,-0.0018059313296866668,39.0
-0.00671482228835604,-0.0018241785745294126,39.0
-0.00680587625002153,-0.0018421851477417922,39.0
-0.00689694167595911,-0.0018599484403402067,39.0
-0.006988018689105913,-0.0018774658433410585,39.0
-0.007079107412399067,-0.0018947347477607497,39.0
-0.0071702079687757,-0.0019117525446156823,39.0
-0.00726132048117294,-0.0019285166249222577,39.0
-0.00735244507252792,-0.0019450243796968788,39.0
-0.007443581865777764,-0.001961273199955947,39.0
-0.007534730983859606,-0.001977260476715865,39.0
-0.00762589254971057,-0.001992983600993034,39.0
-0.007717066686267788,-0.002008439963803856,39.0
-0.00780825351646839,-0.002023626956164734,39.0
-0.007899453163249501,-0.002038541969092069,39.0
-0.00799066574954825,-0.002053182393602263,39.0
-0.008081891398301773,-0.002067545620711718,39.0
-0.00817313023244719,-0.0020816290414368372,39.0
-0.00826438237492164,-0.0020954300467940223,39.0
-0.008355647948662243,-0.002108946027799674,39.0
-0.00844692707660613,-0.002122174375470195,39.0
-0.008538219881690434,-0.002135112480821988,39.0
-0.00862952648685228,-0.0021477577348714538,39.0
-0.008720847015028796,-0.0021601075286349957,39.0
-0.008812181589157114,-0.0021721592531290146,39.0
-0.00890353033217436,-0.002183910299369913,39.0
-0.00899489336701767,-0.002195358058374092,39.0
-0.009086270816624166,-0.002206499921157956,39.0
-0.009177662781491005,-0.0022173337550160897,39.0
-0.009269069272355455,-0.002227859332355822,39.0
-0.009360490277514809,-0.002238076901862667,39.0
-0.009451925785266357,-0.002247986712222136,39.0
-0.0095433757839074,-0.0022575890121197427,39.0
-0.009634840261735226,-0.002266884050241001,39.0
-0.009726319207047128,-0.002275872075271424,39.0
-0.009817812608140403,-0.0022845533358965236,39.0
-0.00990932045331234,-0.0022929280808018132,39.0
-0.01000084273086024,-0.0023009965586728077,39.0
-0.010092379429081382,-0.0023087590181950185,39.0
-0.010183930536273075,-0.002316215708053959,39.0
-0.010275496040732605,-0.002323366876935142,39.0
-0.010367075930757266,-0.002330212773524082,39.0
-0.01045867019464435,-0.0023367536465062912,39.0
-0.010550278820691159,-0.002342989744567283,39.0
-0.010641901797194974,-0.002348921316392569,39.0
-0.010733539112453094,-0.0023545486106676646,39.0
-0.010825190754762815,-0.002359871876078082,39.0
-0.010916856712421423,-0.002364891361309334,39.0
-0.01100853697372622,-0.002369607315046934,39.0
-0.011100231526974497,-0.0023740199859763954,39.0
-0.011191940360463545,-0.0023781296227832313,39.0
-0.011283663462490658,-0.002381936474152954,39.0
-0.01137540082135313,-0.0023854407887710775,39.0
-0.011467152425348253,-0.0023886428153231144,39.0
-0.011558918262773325,-0.0023915428024945786,39.0
-0.011650698321925638,-0.0023941409989709827,39.0
-0.01174249259110248,-0.0023964376534378394,39.0
-0.011834301058601148,-0.0023984330145806624,39.0
-0.01192612371271894,-0.002400127331084965,39.0
-0.012017960541753138,-0.002401520851636259,39.0
-0.012109811534001048,-0.0024026138249200603,39.0
-0.012201676677759957,-0.0024034064996218798,39.0
-0.01229355596132716,-0.0024038991244272304,39.0
-0.01238544937299995,-0.002404091948021626,39.0
-0.012477356901075615,-0.0024039852190905794,39.0
-0.012569278533851456,-0.0024035791863196046,39.0
-0.012661214259624768,-0.002402874098394215,39.0
-0.012753164066692836,-0.002401870203999921,39.0
-0.012845127943352956,-0.002400567751822238,39.0
-0.012937105877902432,-0.0023989669905466796,39.0
-0.01302909785863854,-0.0023970681688587573,39.0
-0.013121103873858586,-0.0023948715354439854,39.0
-0.013213123911859855,-0.002392377338987876,39.0
-0.013305157960939652,-0.002389585828175944,39.0
-0.013397206009395257,-0.0023864972516937,39.0
-0.013489268045523974,-0.0023831118582266593,39.0
-0.013581344057623092,-0.0023794298964603337,39.0
