Penetration,Velocity of deformation,Contact force,Ncon
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
<<<<<<< HEAD
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
0,0,0.0,0
-0.0005482094297990375,-0.25671936760746866,289.2438277961037,1
-0.0012490609255375457,-0.020862178357519162,94.93114682767849,1
-0.0010458061063906982,0.04390668004331362,72.42592897105976,1
-0.000860534086500872,0.04653324741926369,64.28519822897704,1
-0.000769612738985001,0.04499768101143533,55.07291918638589,1
-0.0007257928698698318,0.0438205173026686,49.954649038440856,1
-0.0006031391623891741,0.039287943006181984,44.06033422395545,1
-0.0005297347785446632,0.03582573614915541,45.66730822007551,1
-0.0004956835527596265,0.03405159717007312,46.97479228496783,1
-0.00040408159343761907,0.02880120587373583,50.16521990896038,1
-0.0002840861664925448,0.0210033987048753,48.23789828138724,1
-0.00026444638829357936,0.019639859603039083,47.99901025203945,1
-0.00021302713398084483,0.0159569184643822,47.24001997517324,1
-0.00018433791912518538,0.01382820642228022,47.68479797462615,1
-0.00017148160420797642,0.012856332127599561,48.06201453643892,1
-0.00013816601396719752,0.010285244842845221,49.35602302213618,1
-0.00011161049023243608,0.00818381335071645,49.472350199000076,1
-9.702217513572753e-05,0.007011743057795659,49.3642654408842,1
-7.386247911632393e-05,0.00512684206532672,49.24157395132304,1
-6.47487228099125e-05,0.004376344827420942,49.38335074630466,1
-5.0351082075947295e-05,0.0031792811840966008,49.79651235708261,1
-4.471062567366901e-05,0.0027067378243702976,49.916874896626325,1
-3.778537545849614e-05,0.0021247356589448345,49.96815196957077,1
-3.235056264892788e-05,0.0016673103899739505,49.97656648051355,1
-2.9394351109809924e-05,0.0014183812405020298,50.00712347894118,1
-2.379392209748976e-05,0.0009465701598599518,50.142293392402536,1
-2.2115628208072002e-05,0.000805253036486594,50.1807545741693,1
-2.005553986993147e-05,0.0006321256722803016,50.20800684957575,1
-1.8437501427145953e-05,0.0004966414854626933,50.220082821132856,1
-1.647205463693735e-05,0.00033289079326324054,50.2525879767572,1
-1.5618699722205753e-05,0.0002621359854093636,50.273380998300865,1
-1.5152940005522253e-05,0.00022364584395497556,50.28272035628816,1
-1.4755432578103522e-05,0.00019089684352181994,50.28851989074373,1
-1.4416005734582682e-05,0.0001630263822371951,50.29231074721343,1
-1.3997241723337495e-05,0.00012878288325744974,50.29751021573329,1
-1.366621586638972e-05,0.00010183586520974891,50.3036334766558,1
-1.3484900962187907e-05,8.712568915529603e-05,50.307621356445416,1
-1.3137798677162471e-05,5.9089320106117085e-05,50.31419762422934,1
-1.2902045649396121e-05,4.017823636682819e-05,50.316909508593604,1
-1.2741534247004416e-05,2.7379800704251854e-05,50.320334105916096,1
-1.2741534247004416e-05,2.7379800704251854e-05,50.320086800346274,1
-1.2692673482347927e-05,2.3497504567873982e-05,50.321303749492365,1
-1.263204198841128e-05,1.8690807167979752e-05,50.3223660868139,1
-1.2583794520168445e-05,1.4876360443644398e-05,50.322855621180096,1
-1.255722627634126e-05,1.2780409031057203e-05,50.323295879977756,1
-1.2534397636917993e-05,1.0982122098931129e-05,50.323856874495455,1
-1.2514778511371616e-05,9.438580927011587e-06,50.3242155961892,1
-1.2490392637162784e-05,7.5225032677010185e-06,50.32457800643788,1
-1.2476950418158217e-05,6.4675939226462975e-06,50.32482680386809,1
-1.2455452389467658e-05,4.782790965628765e-06,50.32519899582751,1
-1.2451017000633668e-05,4.4355839858655594e-06,50.32536177861035,1
-1.2439550054241244e-05,3.5385662155024416e-06,50.32555949717654,1
-1.2425353537945383e-05,2.429107171472814e-06,50.325782063490905,1
-1.242101086339209e-05,2.089932047672535e-06,50.32592488274043,1
-1.2417274491735575e-05,1.7981920607193372e-06,50.325999037807385,1
-1.2412624615695811e-05,1.4352334187661296e-06,50.32609139728405,1
-1.2410058678788416e-05,1.2349833882662126e-06,50.32610060461243,1
-1.2407850791026909e-05,1.0626824737805572e-06,50.326152661575975,1
-1.2405951004254567e-05,9.144135554637169e-07,50.326200306571245,1
-1.2403586709272552e-05,7.298486992341944e-07,50.32626315539718,1
-1.2402282127274566e-05,6.279741454183084e-07,50.32633693508496,1
-1.2400658775155171e-05,5.011534061916947e-07,50.32634782599932,1
-1.23997631811118e-05,4.3114885919697866e-07,50.326412169675805,1
-1.2398648987707594e-05,3.439939744694434e-07,50.326451237928104,1
-1.2397758883161969e-05,2.7439393783808383e-07,50.326487133535956,1
-1.23972713072934e-05,2.3595571707314906e-07,50.32650988301584,1
-1.2396661027910816e-05,1.88122868637335e-07,50.32654118860364,1
